Bait	Prey	PreyGene	IP	Intensity	IntensitySum	NumRep	Prob	iProb	ctrlIntensity	AvgP	MaxP	FDR
MEPCE	gi|4826898|gn|PFN1:5216|	gi|4826898|gn|PFN1:5216|	46_Swath_MEPCEJune7-Biorep3	1.457	1.457	1	0.00	0.00	1.79	0.0000	0.0000	0.9404
MEPCE	gi|4557237|gn|ACAT1:38|	gi|4557237|gn|ACAT1:38|	46_Swath_MEPCEJune7-Biorep3	0.504	0.504	1	0.00	0.00	0.51	0.0000	0.0000	0.9404
MEPCE	gi|17298690|gn|PUF60:22827|	gi|17298690|gn|PUF60:22827|	46_Swath_MEPCEJune7-Biorep3	2.396	2.396	1	0.00	0.00	2.31	0.0000	0.0000	0.9404
MEPCE	gi|16117787|gn|RPL34:6164|	gi|16117787|gn|RPL34:6164|	46_Swath_MEPCEJune7-Biorep3	0.909	0.909	1	0.90	0.90	.	0.9020	0.9020	0.0445
MEPCE	gi|110227589|gn|ZNF706:51123|	gi|110227589|gn|ZNF706:51123|	46_Swath_MEPCEJune7-Biorep3	0.549	0.549	1	0.70	0.70	.	0.7020	0.7020	0.1186
MEPCE	gi|23510338|gn|UBA1:7317|	gi|23510338|gn|UBA1:7317|	46_Swath_MEPCEJune7-Biorep3	1.121	1.121	1	0.00	0.00	1.72	0.0000	0.0000	0.9404
MEPCE	gi|217416381|gn|COPRS:55352|	gi|217416381|gn|COPRS:55352|	46_Swath_MEPCEJune7-Biorep3	1.002	1.002	1	0.00	0.00	0.77	0.0000	0.0000	0.9404
MEPCE	gi|14916501|gn|RPS24:6229|	gi|14916501|gn|RPS24:6229|	46_Swath_MEPCEJune7-Biorep3	2.351	2.351	1	0.00	0.00	2.27	0.0000	0.0000	0.9404
MEPCE	gi|194018537|gn|PRPSAP1:5635|	gi|194018537|gn|PRPSAP1:5635|	46_Swath_MEPCEJune7-Biorep3	0.876	0.876	1	0.00	0.00	0.73	0.0000	0.0000	0.9404
MEPCE	gi|57242777|gn|MYCBP:26292|	gi|57242777|gn|MYCBP:26292|	46_Swath_MEPCEJune7-Biorep3	0.615	0.615	1	0.00	0.00	1.13	0.0000	0.0000	0.9404
MEPCE	gi|7661958|gn|BCLAF1:9774|	gi|7661958|gn|BCLAF1:9774|	46_Swath_MEPCEJune7-Biorep3	1.116	1.116	1	0.00	0.00	1.02	0.0000	0.0000	0.9404
MEPCE	gi|4506201|gn|PSMB5:5693|	gi|4506201|gn|PSMB5:5693|	46_Swath_MEPCEJune7-Biorep3	1.072	1.072	1	0.00	0.00	1.08	0.0000	0.0000	0.9404
MEPCE	gi|151101235|gn|TINF2:26277|	gi|151101235|gn|TINF2:26277|	46_Swath_MEPCEJune7-Biorep3	0.298	0.298	1	0.00	0.00	0.23	0.0040	0.0040	0.5549
MEPCE	gi|55956788|gn|NCL:4691|	gi|55956788|gn|NCL:4691|	46_Swath_MEPCEJune7-Biorep3	3.883	3.883	1	0.12	0.12	1.62	0.1160	0.1160	0.3323
MEPCE	gi|228008291|gn|SYNCRIP:10492|	gi|228008291|gn|SYNCRIP:10492|	46_Swath_MEPCEJune7-Biorep3	2.384	2.384	1	0.00	0.00	2.19	0.0000	0.0000	0.9404
MEPCE	gi|21361368|gn|ALDH18A1:5832|	gi|21361368|gn|ALDH18A1:5832|	46_Swath_MEPCEJune7-Biorep3	0.588	0.588	1	0.00	0.00	1.02	0.0000	0.0000	0.9404
MEPCE	gi|156523968|gn|PARP1:142|	gi|156523968|gn|PARP1:142|	46_Swath_MEPCEJune7-Biorep3	0.951	0.951	1	0.01	0.01	0.53	0.0060	0.0060	0.5083
MEPCE	gi|6857818|gn|NPM3:10360|	gi|6857818|gn|NPM3:10360|	46_Swath_MEPCEJune7-Biorep3	0.518	0.518	1	0.69	0.69	.	0.6880	0.6880	0.1252
MEPCE	gi|164664518|gn|DDX6:1656|	gi|164664518|gn|DDX6:1656|	46_Swath_MEPCEJune7-Biorep3	0.346	0.346	1	0.00	0.00	0.72	0.0000	0.0000	0.9404
MEPCE	gi|209869993|gn|GART:2618|	gi|209869993|gn|GART:2618|	46_Swath_MEPCEJune7-Biorep3	0.477	0.477	1	0.00	0.00	0.62	0.0000	0.0000	0.9404
MEPCE	gi|32483377|gn|PRDX3:10935|	gi|32483377|gn|PRDX3:10935|	46_Swath_MEPCEJune7-Biorep3	1.110	1.110	1	0.00	0.00	1.13	0.0000	0.0000	0.9404
MEPCE	gi|5730027|gn|KHDRBS1:10657|	gi|5730027|gn|KHDRBS1:10657|	46_Swath_MEPCEJune7-Biorep3	1.684	1.684	1	0.00	0.00	1.67	0.0000	0.0000	0.9404
MEPCE	gi|253970500|gn|EWSR1:2130|	gi|253970500|gn|EWSR1:2130|	46_Swath_MEPCEJune7-Biorep3	3.657	3.657	1	0.00	0.00	3.20	0.0000	0.0000	0.9404
MEPCE	gi|314122177|gn|CALU:813|	gi|314122177|gn|CALU:813|	46_Swath_MEPCEJune7-Biorep3	1.192	1.192	1	0.01	0.01	0.72	0.0060	0.0060	0.5083
MEPCE	gi|20127499|gn|SRSF6:6431|	gi|20127499|gn|SRSF6:6431|	46_Swath_MEPCEJune7-Biorep3	0.412	0.412	1	0.00	0.00	0.51	0.0000	0.0000	0.9404
MEPCE	gi|4759224|gn|PDCD5:9141|	gi|4759224|gn|PDCD5:9141|	46_Swath_MEPCEJune7-Biorep3	0.894	0.894	1	0.00	0.00	1.12	0.0000	0.0000	0.9404
MEPCE	gi|38569421|gn|ACLY:47|	gi|38569421|gn|ACLY:47|	46_Swath_MEPCEJune7-Biorep3	2.000	2.000	1	0.00	0.00	1.82	0.0000	0.0000	0.9404
MEPCE	gi|4507131|gn|SNRPF:6636|	gi|4507131|gn|SNRPF:6636|	46_Swath_MEPCEJune7-Biorep3	0.193	0.193	1	0.00	0.00	0.24	0.0000	0.0000	0.9404
MEPCE	gi|50726968|gn|MFAP1:4236|	gi|50726968|gn|MFAP1:4236|	46_Swath_MEPCEJune7-Biorep3	0.584	0.584	1	0.01	0.01	0.39	0.0080	0.0080	0.4906
