Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	FoldChange	BFDR	boosted_by	PreyGeneID	ctrlIntensitySum	AvgctrlIntensity
MEPCE	gi|50726968|gn|MFAP1:4236|	MFAP1	0.584	0.584	0.584	1	0.389	.	.	.	.	.	-0.618	0.000		4236	0.389	0.389
MEPCE	gi|4507131|gn|SNRPF:6636|	SNRPF	0.194	0.194	0.194	1	0.241	.	.	.	.	.	-0.136	0.000		6636	0.241	0.241
MEPCE	gi|5803181|gn|STIP1:10963|	STIP1	3.141	3.141	3.141	1	3.161	.	.	.	.	.	2.729	0.000		10963	3.161	3.161
MEPCE	P12763	AHSG	0.685	0.685	0.685	1	.	.	.	.	.	.	-0.229	0.000		280988	0	0
MEPCE	gi|27262628|gn|NASP:4678|	NASP	1.521	1.521	1.521	1	1.349	.	.	.	.	.	5.083	0.000		4678	1.349	1.349
MEPCE	gi|16753227|gn|RPL6:6128|	RPL6	1.734	1.734	1.734	1	0.337	.	.	.	.	.	-1.595	0.000		6128	0.337	0.337
MEPCE	gi|4885281|gn|GLUD1:2746|	GLUD1	0.842	0.842	0.842	1	0.557	.	.	.	.	.	-1.438	0.000		2746	0.557	0.557
MEPCE	gi|17986258|gn|MYL6:4637|	MYL6	1.554	1.554	1.554	1	1.713	.	.	.	.	.	2.887	0.000		4637	1.713	1.713
MEPCE	gi|7656879|gn|AFF4:27125|	AFF4	0.426	0.426	0.426	1	.	.	.	.	.	.	-0.142	0.000		27125	0	0
MEPCE	gi|68160937|gn|TRIM25:7706|	TRIM25	0.298	0.298	0.298	1	.	.	.	.	.	.	-0.099	0.000		7706	0	0
MEPCE	gi|24234747|gn|ILF2:3608|	ILF2	0.802	0.802	0.802	1	0.948	.	.	.	.	.	-15.095	0.000		3608	0.948	0.948
MEPCE	gi|157649073|gn|CAP1:10487|	CAP1	0.578	0.578	0.578	1	0.594	.	.	.	.	.	-1.112	0.000		10487	0.594	0.594
MEPCE	gi|13904866|gn|RPL28:6158|	RPL28	1.451	1.451	1.451	1	0.545	.	.	.	.	.	-2.391	0.000		6158	0.545	0.545
MEPCE	gi|224451142|gn|STMN1:3925|	STMN1	0.482	0.482	0.482	1	0.683	.	.	.	.	.	-1.263	0.000		3925	0.683	0.683
MEPCE	gi|38455427|gn|CCT4:10575|	CCT4	2.124	2.124	2.124	1	2.109	.	.	.	.	.	2.847	0.000		10575	2.109	2.109
MEPCE	gi|41327771|gn|DDX23:9416|	DDX23	1.999	1.999	1.999	1	0.450	.	.	.	.	.	-2.505	0.000		9416	0.45	0.45
MEPCE	gi|134152708|gn|ARGLU1:55082|	ARGLU1	2.273	2.273	2.273	1	2.233	.	.	.	.	.	2.829	0.000		55082	2.233	2.233
MEPCE	gi|23110944|gn|PSMA6:5687|	PSMA6	0.821	0.821	0.821	1	0.773	.	.	.	.	.	-3.194	0.000		5687	0.773	0.773
MEPCE	gi|310923127|gn|NME2:4831|	NME2	0.598	0.598	0.598	1	0.386	.	.	.	.	.	-0.629	0.000		4831	0.386	0.386
MEPCE	gi|5901998|gn|LSM6:11157|	LSM6	1.187	1.187	1.187	1	.	.	.	.	.	.	-0.396	0.000		11157	0	0
MEPCE	gi|5292161|gn|PSMD4:5710|	PSMD4	0.353	0.353	0.353	1	0.624	.	.	.	.	.	-0.747	0.000		5710	0.624	0.624
MEPCE	gi|25777612|gn|PSMD3:5709|	PSMD3	0.718	0.718	0.718	1	1.167	.	.	.	.	.	4.639	0.000		5709	1.167	1.167
MEPCE	gi|24497601|gn|EDF1:8721|	EDF1	1.414	1.414	1.414	1	1.337	.	.	.	.	.	4.870	0.000		8721	1.337	1.337
MEPCE	gi|24797086|gn|IPO5:3843|	IPO5	0.289	0.289	0.289	1	0.528	.	.	.	.	.	-0.453	0.000		3843	0.528	0.528
MEPCE	gi|109240550|gn|PSPC1:55269|	PSPC1	0.307	0.307	0.307	1	0.450	.	.	.	.	.	-0.384	0.000		55269	0.45	0.45
MEPCE	gi|6912486|gn|LSM4:25804|	LSM4	1.001	1.001	1.001	1	0.397	.	.	.	.	.	-1.083	0.000		25804	0.397	0.397
MEPCE	gi|6005860|gn|RPL35:11224|	RPL35	1.690	1.690	1.690	1	1.532	.	.	.	.	.	3.962	0.000		11224	1.532	1.532
MEPCE	gi|122114654|gn|METTL16:79066|	METTL16	2.856	2.856	2.856	1	.	.	.	.	.	.	-0.954	0.000		79066	0	0
MEPCE	gi|10835067|gn|SSB:6741|	SSB	6.374	6.374	6.374	1	1.114	.	.	.	.	.	59.016	0.000		6741	1.114	1.114
MEPCE	gi|42718020|gn|RP9:6100|	RP9	0.343	0.343	0.343	1	.	.	.	.	.	.	-0.115	0.000		6100	0	0
MEPCE	gi|4507951|gn|YWHAH:7533|	YWHAH	2.117	2.117	2.117	1	2.380	.	.	.	.	.	2.442	0.000		7533	2.38	2.38
MEPCE	gi|4502643|gn|CCT6A:908|	CCT6A	1.518	1.518	1.518	1	1.911	.	.	.	.	.	2.344	0.000		908	1.911	1.911
MEPCE	gi|4758638|gn|PRDX6:9588|	PRDX6	0.449	0.449	0.449	1	0.745	.	.	.	.	.	-1.523	0.000		9588	0.745	0.745
MEPCE	gi|23308577|gn|PHGDH:26227|	PHGDH	1.645	1.645	1.645	1	2.084	.	.	.	.	.	2.241	0.000		26227	2.084	2.084
MEPCE	gi|21328448|gn|YWHAB:7529|	YWHAB	2.399	2.399	2.399	1	2.765	.	.	.	.	.	2.359	0.000		7529	2.765	2.765
MEPCE	gi|10337595|gn|PPM1A:5494|	PPM1A	1.018	1.018	1.018	1	0.965	.	.	.	.	.	-28.185	0.000		5494	0.965	0.965
MEPCE	gi|34098946|gn|YBX1:4904|	YBX1	2.816	2.816	2.816	1	3.016	.	.	.	.	.	2.551	0.000		4904	3.016	3.016
MEPCE	gi|21626466|gn|MATR3:9782|	MATR3	0.367	0.367	0.367	1	1.734	.	.	.	.	.	0.667	0.000		9782	1.734	1.734
MEPCE	gi|24430155|gn|PSMC4:5704|	PSMC4	0.990	0.990	0.990	1	1.741	.	.	.	.	.	1.787	0.000		5704	1.741	1.741
MEPCE	gi|4506623|gn|RPL27:6155|	RPL27	1.431	1.431	1.431	1	.	.	.	.	.	.	-0.478	0.000		6155	0	0
MEPCE	gi|4759034|gn|ETF1:2107|	ETF1	0.348	0.348	0.348	1	0.261	.	.	.	.	.	-0.259	0.000		2107	0.261	0.261
MEPCE	gi|15011936|gn|RPS26:6231|	RPS26	1.955	1.955	1.955	1	2.213	.	.	.	.	.	2.461	0.000		6231	2.213	2.213
MEPCE	gi|4503483|gn|EEF2:1938|	EEF2	1.509	1.509	1.509	1	2.347	.	.	.	.	.	1.768	0.000		1938	2.347	2.347
MEPCE	gi|222136639|gn|MTHFD1:4522|	MTHFD1	1.442	1.442	1.442	1	1.241	.	.	.	.	.	6.682	0.000		4522	1.241	1.241
MEPCE	gi|29788785|gn|TUBB:203068|	TUBB	5.809	5.809	5.809	1	7.039	.	.	.	.	.	2.977	0.000		203068	7.039	7.039
MEPCE	gi|222144293|gn|KPNA1:3836|	KPNA1	0.322	0.322	0.322	1	0.283	.	.	.	.	.	-0.255	0.000		3836	0.283	0.283
MEPCE	gi|4506643|gn|RPL37A:6168|	RPL37A	0.292	0.292	0.292	1	.	.	.	.	.	.	-0.097	0.000		6168	0	0
MEPCE	gi|168229174|gn|RBM27:54439|	RBM27	0.619	0.619	0.619	1	0.371	.	.	.	.	.	-0.623	0.000		54439	0.371	0.371
MEPCE	gi|4503729|gn|FKBP4:2288|	FKBP4	1.071	1.071	1.071	1	1.828	.	.	.	.	.	1.774	0.000		2288	1.828	1.828
MEPCE	gi|21361657|gn|PDIA3:2923|	PDIA3	0.272	0.272	0.272	1	0.615	.	.	.	.	.	-0.560	0.000		2923	0.615	0.615
MEPCE	gi|208431833|gn|PABPC4:8761|	PABPC4	0.617	0.617	0.617	1	5.204	.	.	.	.	.	0.374	0.000		8761	5.204	5.204
MEPCE	gi|4504971|gn|LDB2:9079|	LDB2	0.927	0.927	0.927	1	.	.	.	.	.	.	-0.310	0.000		9079	0	0
MEPCE	gi|4758024|gn|COIL:8161|	COIL	0.947	0.947	0.947	1	.	.	.	.	.	.	-0.316	0.000		8161	0	0
MEPCE	gi|5032027|gn|RBBP4:5928|	RBBP4	0.624	0.624	0.624	1	0.582	.	.	.	.	.	-1.152	0.000		5928	0.582	0.582
MEPCE	gi|5803227|gn|YWHAQ:10971|	YWHAQ	2.150	2.150	2.150	1	2.408	.	.	.	.	.	2.447	0.000		10971	2.408	2.408
MEPCE	gi|6005942|gn|VCP:7415|	VCP	4.352	4.352	4.352	1	4.100	.	.	.	.	.	3.085	0.000		7415	4.1	4.1
MEPCE	gi|4506743|gn|RPS8:6202|	RPS8	3.241	3.241	3.241	1	2.955	.	.	.	.	.	2.991	0.000		6202	2.955	2.955
MEPCE	gi|14110407|gn|HNRNPDL:9987|	HNRNPDL	0.195	0.195	0.195	1	0.406	.	.	.	.	.	-0.217	0.000		9987	0.406	0.406
MEPCE	gi|5729953|gn|NUDC:10726|	NUDC	0.934	0.934	0.934	1	1.088	.	.	.	.	.	11.056	0.000		10726	1.088	1.088
MEPCE	gi|5453682|gn|HEXIM1:10614|	HEXIM1	2.714	2.714	2.714	1	.	.	.	.	.	.	-0.907	0.000		10614	0	0
MEPCE	gi|4506609|gn|RPL19:6143|	RPL19	2.380	2.380	2.380	1	1.443	.	.	.	.	.	6.492	0.000		6143	1.443	1.443
MEPCE	gi|4501881|gn|ACTA1:58|	ACTA1	3.620	3.620	3.620	1	4.493	.	.	.	.	.	2.409	0.000		58	4.493	4.493
MEPCE	gi|303521310|gn|MEPCE:56257|	MEPCE	3.247	3.247	3.247	1	.	.	.	.	.	.	-1.085	0.000		56257	0	0
